timestamp,symbol,direction,score,grade,regime,hour_wib,day_of_week,entry_price,sl_price,tp_price,sl_dist_pct,tp_dist_pct,rr_ratio,penalties_count,bonuses_count,outcome,candles_to_outcome,max_favorable_excursion,max_adverse_excursion,rsi_value,volume_ratio,atr_percent,mss_structure,choch_detected,momentum,momentum_strength,price_zone,fvg_present,ob_present,sweep_detected,pdh_swept,pdl_swept,breakout_detected,cvd_signal,ob_signal,fng_value,funding_sentiment,primary_pattern,pattern_strength,vwap_position,bb_position,stoch_signal,macd_cross,oi_signal,oi_change_pct,consolidating,consolidation_quality,spike_detected,spike_direction,ha_direction,ha_strength,ha_consistent,hypothesis_signal,hypothesis_bull_score,hypothesis_bear_score,model_b_confidence,model_b_action,model_c_action,session,btc_trend,btc_price_change_pct,rs_vs_btc
2026-04-19T08:15:18.487027+00:00,AVAXUSDT,BULLISH,56,WEAK,TRENDING,15,6,9.195,9.1365,9.3705,0.6362,1.9086,3.0,0,1,LOSS,37,0.159,0.051,41.14,0.0,0.4241,RANGING,False,BULLISH,2,DISCOUNT,True,True,False,False,False,False,BEARISH_DIVERGENCE,BALANCED,27,NEUTRAL,BULLISH_MARUBOZU,STRONG,FAR_BELOW,lower_half,NEUTRAL,BEARISH,,,,,,,,,,,,,,,,,,,
2026-04-19T08:15:19.684758+00:00,DOTUSDT,BULLISH,51,NO_TRADE,TRENDING,15,6,1.256,1.2464,1.2848,0.7643,2.293,3.0,0,0,WIN,19,0.024,0.004,41.89,0.0,0.5096,BULLISH,True,BULLISH,2,DISCOUNT,True,False,False,False,False,False,BEARISH_DIVERGENCE,BID_DOMINANT,27,NEUTRAL,BULLISH_MARUBOZU,STRONG,FAR_BELOW,lower_half,NEUTRAL,BEARISH,,,,,,,,,,,,,,,,,,,
2026-04-19T09:30:20.738234+00:00,AVAXUSDT,BULLISH,55,WEAK,TRENDING,16,6,9.182,9.1352,9.3224,0.5097,1.5291,3.0,0,1,WIN,14,0.112,0.038,40.22,0.0,0.3398,BEARISH,False,NEUTRAL,0,DISCOUNT,True,True,False,False,False,False,BULLISH_DIVERGENCE,BALANCED,27,NEUTRAL,BULLISH_MARUBOZU,STRONG,FAR_BELOW,lower_half,NEUTRAL,BEARISH,,,,,,,,,,,,,,,,,,,
2026-04-19T14:15:19.823160+00:00,DOTUSDT,BULLISH,59,WEAK,RANGING,21,6,1.272,1.2618,1.3026,0.8019,2.4057,3.0,0,1,LOSS,4,0.013,0.002,48.52,0.0,0.5346,RANGING,False,BEARISH,2,EQUILIBRIUM,True,True,False,False,True,False,BULLISH_DIVERGENCE,BALANCED,27,NEUTRAL,BEARISH_MARUBOZU,STRONG,FAR_BELOW,upper_half,OVERSOLD,BULLISH,,,,,,,,,,,,,,,,,,,
2026-04-19T16:45:16.315646+00:00,DOTUSDT,BULLISH,60,WEAK,RANGING,23,6,1.272,1.2616,1.303,0.8176,2.4371,2.98,0,1,LOSS,2,0.0,0.009,48.96,0.0,0.5425,RANGING,False,BEARISH,2,DISCOUNT,True,True,False,False,True,False,BULLISH_DIVERGENCE,BALANCED,27,NEUTRAL,BEARISH_MARUBOZU,STRONG,FAR_BELOW,lower_half,NEUTRAL,BEARISH,,,,,,,,,,,,,,,,,,,
2026-04-19T20:30:09.530523+00:00,SOLUSDT,BULLISH,59,WEAK,TRENDING,3,0,84.99,84.4893,86.4921,0.5891,1.7674,3.0,0,1,LOSS,4,0.21,0.31,32.11,0.74,0.3928,RANGING,False,BEARISH,2,DISCOUNT,True,False,True,False,False,False,BULLISH_DIVERGENCE,BALANCED,27,NEUTRAL,,WEAK,FAR_BELOW,lower_half,NEUTRAL,BEARISH,,,,,,,,,,,,,,,,,,,
2026-04-20T01:15:20.637850+00:00,ETCUSDT,BEARISH,70,VALID,TRENDING,8,0,8.3,8.3494,8.152,0.5952,1.7831,3.0,0,1,LOSS,6,0.016,0.049,59.83,0.0,0.3964,BEARISH,False,BEARISH,2,PREMIUM,True,True,False,False,False,False,BULLISH_DIVERGENCE,BID_DOMINANT,29,NEUTRAL,INSIDE_BAR,WEAK,FAR_BELOW,upper_half,OVERBOUGHT,BULLISH,,,,,,,,,,,,,,,,,,,
2026-04-20T02:45:09.278315+00:00,SOLUSDT,BEARISH,59,WEAK,TRENDING,9,0,84.14,84.6096,82.731,0.5581,1.6746,3.0,0,1,LOSS,14,0.44,0.44,53.69,0.0,0.3721,RANGING,False,BEARISH,2,PREMIUM,True,True,False,False,False,False,BULLISH_DIVERGENCE,BALANCED,29,NEUTRAL,INSIDE_BAR,WEAK,FAR_BELOW,upper_half,NEUTRAL,BULLISH,,,,,,,,,,,,,,,,,,,
2026-04-20T03:30:15.819512+00:00,DOTUSDT,BEARISH,72,VALID,TRENDING,10,0,1.258,1.2659,1.2342,0.628,1.8919,3.01,0,1,LOSS,4,0.0,0.007,64.14,0.0,0.4213,RANGING,False,NEUTRAL,0,PREMIUM,True,True,False,False,False,False,NEUTRAL,BALANCED,29,NEUTRAL,BEARISH_MARUBOZU,STRONG,FAR_BELOW,upper_half,OVERBOUGHT,BULLISH,,,,,,,,,,,,,,,,,,,
2026-04-20T04:45:09.674314+00:00,SOLUSDT,BEARISH,71,VALID,TRENDING,11,0,84.35,84.6664,83.401,0.3751,1.1251,3.0,0,1,LOSS,6,0.65,0.2,55.82,0.0,0.25,RANGING,False,BEARISH,2,PREMIUM,True,True,False,False,False,False,BEARISH_CONFIRMED,BID_DOMINANT,29,NEUTRAL,BEARISH_MARUBOZU,STRONG,FAR_BELOW,upper_half,NEUTRAL,BULLISH,,,,,,,,,,,,,,,,,,,
