symbol,side,outcome,exit_reason,p2_grade,entry_price,exit_price,pnl_usd,pnl_pct,size_usd,leverage,stop_loss,take_profit,hold_hours,p2_score,entry_time,exit_time,p1_snapshot
SKYAIUSDT,LONG,WIN,TP_HIT,VALID,0.55557,0.60208,25.11474701657754,25.11474701657754,100.0,3.0,0.5370510000000001,0.6018675,1.5063625758333334,70.0,2026-05-13 09:11:20.232754,2026-05-13 10:41:43.138027,
GUAUSDT,LONG,WIN,TP_HIT,PREMIUM,1.3506,1.4704,26.61039537983116,26.61039537983116,100.0,3.0,1.30558,1.46315,1.2553633577777776,82.0,2026-05-13 10:26:40.088387,2026-05-13 11:41:59.396475,
COSUSDT,LONG,LOSS,SL_HIT,VALID,0.001725,0.001632,-17.0105109987593,-16.173913043478258,105.17251423964086,3.0,0.0016675,0.0018687499999999,0.5018792311111111,75.0,2026-05-13 12:12:11.683958,2026-05-13 12:42:18.449190,
IRYSUSDT,LONG,LOSS,SL_HIT,VALID,0.06463,0.06033,-20.99219300156845,-19.95977100417765,105.17251423964086,3.0,0.0624756666666666,0.0700158333333333,2.2530187372222223,75.0,2026-05-13 12:27:15.334369,2026-05-13 14:42:26.201823,
GUAUSDT,LONG,LOSS,SL_HIT,VALID,1.4704,1.3627,-7.703400288091208,-14.649075081610436,52.58625711982043,2.0,1.39688,1.6542,3.2580789880555554,66.0,2026-05-13 11:42:01.826680,2026-05-13 14:57:30.911037,
MITOUSDT,LONG,LOSS,SL_HIT,VALID,0.0847,0.07811,-8.0504951840738,-15.560802833530104,51.73573156988247,2.0,0.080465,0.0952875,3.5154457838888886,66.0,2026-05-13 13:42:12.098562,2026-05-13 17:13:07.703384,
ESPORTSUSDT,LONG,LOSS,SL_HIT,VALID,0.5993,0.5697,-15.331663485418233,-14.817286834640448,103.47146313976494,3.0,0.5793233333333334,0.6492416666666667,4.771831085555555,73.0,2026-05-13 14:27:22.940097,2026-05-13 19:13:41.532005,
LABUSDT,LONG,LOSS,SL_HIT,VALID,6.0661,5.8467,-10.82842180235274,-10.850464054334717,99.7968542923916,3.0,5.863896666666666,6.571608333333333,4.643733920555556,78.0,2026-05-13 17:58:22.701000,2026-05-13 22:37:00.143114,
JCTUSDT,LONG,LOSS,SL_HIT,VALID,0.004082,0.00387,-15.548946430661664,-15.580597746202807,99.7968542923916,3.0,0.0039459333333333,0.0044221666666666,5.156654441666666,71.0,2026-05-13 17:43:17.991762,2026-05-13 22:52:41.947752,
TRUTHUSDT,LONG,LOSS,SL_HIT,VALID,0.024452,0.023437,-11.90827012768159,-12.452969082283682,95.62595112054834,3.0,0.0236369333333333,0.0264896666666666,1.0034811227777778,72.0,2026-05-14 00:23:49.106328,2026-05-14 01:24:01.638370,
