timestamp,symbol,direction,entry_price,sl_price,tp_price,outcome,candles_to_outcome,score,grade,choch_detected,mss_structure,primary_pattern,price_zone,momentum,bb_position,volume_ratio,rsi_value
2026-04-19T01:22:27.361201+00:00,UNIUSDT,BULLISH,3.332,3.2820199999999997,3.43196,LOSS,6,60,WEAK,False,BEARISH,INSIDE_BAR,DISCOUNT,BEARISH,lower_half,0.53,34.99
2026-04-19T02:26:59.890226+00:00,BTCUSDT,BULLISH,75464.1,74332.1385,77728.023,LOSS,78,62,WEAK,True,BULLISH,,DISCOUNT,NEUTRAL,lower_half,2.1,35.04
2026-04-19T02:27:10.049928+00:00,ADAUSDT,BULLISH,0.2473,0.2435905,0.254719,LOSS,78,66,WEAK,False,BEARISH,,DISCOUNT,STRONG_BEARISH,below_lower,2.12,27.47
2026-04-19T02:27:47.269000+00:00,BTCUSDT,BULLISH,75453.9,74322.0915,77717.51699999999,LOSS,78,62,WEAK,True,BULLISH,,DISCOUNT,NEUTRAL,lower_half,2.14,34.35
2026-04-19T02:27:56.073913+00:00,ADAUSDT,BULLISH,0.2473,0.2435905,0.254719,LOSS,78,73,VALID,False,BEARISH,,DISCOUNT,STRONG_BEARISH,below_lower,2.28,27.47
2026-04-19T02:28:58.644224+00:00,BTCUSDT,BULLISH,75427.9,74296.4815,77690.737,LOSS,78,70,VALID,True,BULLISH,,DISCOUNT,NEUTRAL,below_lower,2.28,32.69
2026-04-19T07:30:11.791524+00:00,BTCUSDT,BULLISH,74943.9,73819.74149999999,77192.21699999999,LOSS,58,55,WEAK,True,BULLISH,BULLISH_MARUBOZU,DISCOUNT,STRONG_BEARISH,below_lower,0.02,18.96
2026-04-19T08:15:18.487027+00:00,AVAXUSDT,BULLISH,9.195,9.057075,9.47085,LOSS,55,56,WEAK,False,RANGING,BULLISH_MARUBOZU,DISCOUNT,BULLISH,lower_half,0.0,41.14
2026-04-19T09:30:20.738234+00:00,AVAXUSDT,BULLISH,9.182,9.044270000000001,9.457460000000001,LOSS,50,55,WEAK,False,BEARISH,BULLISH_MARUBOZU,DISCOUNT,NEUTRAL,lower_half,0.0,40.22
2026-04-19T14:15:19.823160+00:00,DOTUSDT,BULLISH,1.272,1.25292,1.31016,LOSS,31,59,WEAK,False,RANGING,BEARISH_MARUBOZU,EQUILIBRIUM,BEARISH,upper_half,0.0,48.52
2026-04-19T15:30:15.024507+00:00,DOTUSDT,BULLISH,1.272,1.25292,1.31016,LOSS,26,61,WEAK,False,BULLISH,BEARISH_MARUBOZU,EQUILIBRIUM,STRONG_BEARISH,lower_half,0.0,44.67
2026-04-19T16:45:16.315646+00:00,DOTUSDT,BULLISH,1.272,1.25292,1.31016,LOSS,21,60,WEAK,False,RANGING,BEARISH_MARUBOZU,DISCOUNT,BEARISH,lower_half,0.0,48.96
