timestamp,open,high,low,close,volume
2026-03-31 05:45:00,8.739,8.772,8.739,8.755,85386.07
2026-03-31 06:00:00,8.755,8.759,8.726,8.728,73247.05
2026-03-31 06:15:00,8.729,8.735,8.707,8.716,55942.75
2026-03-31 06:30:00,8.717,8.728,8.71,8.719,71183.07
2026-03-31 06:45:00,8.719,8.74,8.719,8.732,61321.13
2026-03-31 07:00:00,8.733,8.737,8.688,8.696,150583.07
2026-03-31 07:15:00,8.696,8.699,8.665,8.688,156118.21
2026-03-31 07:30:00,8.688,8.707,8.686,8.7,83129.74
2026-03-31 07:45:00,8.699,8.715,8.698,8.707,67273.16
2026-03-31 08:00:00,8.706,8.708,8.677,8.683,91914.5
2026-03-31 08:15:00,8.683,8.715,8.678,8.707,170482.98
2026-03-31 08:30:00,8.706,8.706,8.634,8.643,218608.0
2026-03-31 08:45:00,8.643,8.655,8.626,8.633,165402.28
2026-03-31 09:00:00,8.633,8.648,8.609,8.623,134731.05
2026-03-31 09:15:00,8.622,8.623,8.571,8.586,200489.39
2026-03-31 09:30:00,8.586,8.601,8.574,8.596,105476.26
2026-03-31 09:45:00,8.596,8.6,8.498,8.525,516983.61
2026-03-31 10:00:00,8.524,8.562,8.517,8.56,162210.37
2026-03-31 10:15:00,8.56,8.576,8.552,8.564,82855.74
2026-03-31 10:30:00,8.563,8.57,8.541,8.554,123507.43
2026-03-31 10:45:00,8.553,8.574,8.546,8.56,68392.43
2026-03-31 11:00:00,8.561,8.608,8.544,8.587,333895.29
2026-03-31 11:15:00,8.587,8.623,8.581,8.598,198716.92
2026-03-31 11:30:00,8.598,8.631,8.598,8.629,108393.12
2026-03-31 11:45:00,8.63,8.63,8.597,8.611,78954.71
2026-03-31 12:00:00,8.611,8.64,8.6,8.603,115536.05
2026-03-31 12:15:00,8.603,8.654,8.595,8.649,153620.92
2026-03-31 12:30:00,8.649,8.667,8.641,8.662,113281.65
2026-03-31 12:45:00,8.662,8.665,8.625,8.631,67025.57
2026-03-31 13:00:00,8.631,8.684,8.629,8.673,129071.86
2026-03-31 13:15:00,8.672,8.693,8.66,8.663,104883.82
2026-03-31 13:30:00,8.662,8.718,8.662,8.686,210077.51
2026-03-31 13:45:00,8.686,8.77,8.686,8.742,227916.31
2026-03-31 14:00:00,8.742,8.782,8.702,8.749,299906.74
2026-03-31 14:15:00,8.748,8.806,8.747,8.784,207419.16
2026-03-31 14:30:00,8.784,8.789,8.691,8.71,148066.2
2026-03-31 14:45:00,8.709,8.709,8.585,8.62,398365.14
2026-03-31 15:00:00,8.62,8.73,8.617,8.726,254366.23
2026-03-31 15:15:00,8.726,8.732,8.661,8.666,128392.26
2026-03-31 15:30:00,8.666,8.683,8.644,8.653,140316.03
2026-03-31 15:45:00,8.652,8.67,8.618,8.622,135838.12
2026-03-31 16:00:00,8.623,8.665,8.619,8.659,153035.47
2026-03-31 16:15:00,8.658,8.684,8.651,8.664,106831.79
2026-03-31 16:30:00,8.664,8.848,8.64,8.78,666843.53
2026-03-31 16:45:00,8.779,8.81,8.74,8.782,309470.98
2026-03-31 17:00:00,8.781,8.88,8.764,8.874,303936.48
2026-03-31 17:15:00,8.874,8.888,8.817,8.824,342625.8
2026-03-31 17:30:00,8.823,8.844,8.767,8.786,205905.4
2026-03-31 17:45:00,8.786,8.792,8.744,8.764,115016.09
2026-03-31 18:00:00,8.764,8.813,8.764,8.809,103311.75
2026-03-31 18:15:00,8.81,8.837,8.767,8.792,86569.17
2026-03-31 18:30:00,8.792,8.809,8.773,8.79,51738.82
2026-03-31 18:45:00,8.79,8.799,8.771,8.792,146738.63
2026-03-31 19:00:00,8.792,8.806,8.783,8.794,60810.96
2026-03-31 19:15:00,8.794,8.801,8.761,8.765,63273.4
2026-03-31 19:30:00,8.765,8.773,8.749,8.761,59003.67
2026-03-31 19:45:00,8.76,8.783,8.756,8.772,108592.55
2026-03-31 20:00:00,8.771,8.814,8.768,8.808,73733.36
2026-03-31 20:15:00,8.807,8.81,8.77,8.778,61439.82
2026-03-31 20:30:00,8.778,8.79,8.763,8.772,56277.91
2026-03-31 20:45:00,8.772,8.802,8.766,8.796,179625.53
2026-03-31 21:00:00,8.797,8.8,8.75,8.755,55902.7
2026-03-31 21:15:00,8.755,8.759,8.737,8.759,66946.75
2026-03-31 21:30:00,8.758,8.779,8.755,8.761,57164.93
2026-03-31 21:45:00,8.761,8.798,8.758,8.764,40728.29
2026-03-31 22:00:00,8.764,8.771,8.733,8.752,79279.35
2026-03-31 22:15:00,8.752,8.761,8.738,8.738,39092.81
2026-03-31 22:30:00,8.738,8.759,8.706,8.748,90640.74
2026-03-31 22:45:00,8.748,8.749,8.734,8.739,43235.69
2026-03-31 23:00:00,8.739,8.759,8.729,8.752,78850.92
2026-03-31 23:15:00,8.752,8.781,8.745,8.768,128262.41
2026-03-31 23:30:00,8.768,8.782,8.762,8.774,50056.27
2026-03-31 23:45:00,8.774,8.789,8.761,8.777,62029.21
2026-04-01 00:00:00,8.778,8.782,8.761,8.771,101157.53
2026-04-01 00:15:00,8.772,8.787,8.753,8.769,97885.1
2026-04-01 00:30:00,8.768,8.773,8.745,8.773,97401.19
2026-04-01 00:45:00,8.773,8.826,8.766,8.819,120362.54
2026-04-01 01:00:00,8.819,8.826,8.799,8.808,102676.72
2026-04-01 01:15:00,8.809,8.809,8.773,8.774,52223.89
2026-04-01 01:30:00,8.774,8.783,8.744,8.775,264529.84
2026-04-01 01:45:00,8.775,8.775,8.755,8.757,60275.05
2026-04-01 02:00:00,8.757,8.786,8.756,8.776,137002.74
2026-04-01 02:15:00,8.775,8.786,8.735,8.744,86399.14
2026-04-01 02:30:00,8.744,8.764,8.736,8.757,71993.76
2026-04-01 02:45:00,8.757,8.769,8.752,8.756,42622.13
2026-04-01 03:00:00,8.756,8.83,8.756,8.803,109698.51
2026-04-01 03:15:00,8.803,8.803,8.778,8.783,51636.34
2026-04-01 03:30:00,8.784,8.803,8.775,8.799,39267.34
2026-04-01 03:45:00,8.799,8.826,8.799,8.816,111430.85
2026-04-01 04:00:00,8.816,8.832,8.79,8.797,87776.16
2026-04-01 04:15:00,8.797,8.822,8.79,8.822,59679.43
2026-04-01 04:30:00,8.821,8.85,8.813,8.836,63095.07
2026-04-01 04:45:00,8.836,8.858,8.828,8.839,65197.14
2026-04-01 05:00:00,8.839,8.848,8.817,8.844,54037.87
2026-04-01 05:15:00,8.844,8.925,8.838,8.909,296848.08
2026-04-01 05:30:00,8.91,8.924,8.895,8.906,164979.61
2026-04-01 05:45:00,8.906,8.947,8.901,8.907,197100.76
2026-04-01 06:00:00,8.908,8.998,8.908,8.987,265314.36
2026-04-01 06:15:00,8.987,9.03,8.976,9.023,310595.3
2026-04-01 06:30:00,9.023,9.1,9.019,9.096,478422.25
2026-04-01 06:45:00,9.096,9.107,9.063,9.089,284498.01
2026-04-01 07:00:00,9.089,9.193,9.085,9.142,578881.47
2026-04-01 07:15:00,9.142,9.142,9.063,9.067,272001.81
2026-04-01 07:30:00,9.067,9.1,9.063,9.084,167892.76
2026-04-01 07:45:00,9.084,9.09,9.042,9.056,212672.08
2026-04-01 08:00:00,9.056,9.091,9.042,9.048,317660.39
2026-04-01 08:15:00,9.048,9.096,9.043,9.083,153510.29
2026-04-01 08:30:00,9.084,9.101,9.064,9.097,98861.17
2026-04-01 08:45:00,9.098,9.099,9.044,9.057,201747.65
2026-04-01 09:00:00,9.057,9.061,9.008,9.013,226927.25
